macro_frame,sim_time,packet,object_id,tag,v0,v1,v2,v3,v4,v5,v6,v7
475,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
475,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
475,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
475,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
475,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
475,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
475,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
475,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
475,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
475,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
475,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
475,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
475,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
475,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
476,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
476,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
476,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
476,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
476,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
476,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
476,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
476,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
476,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
476,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
476,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
476,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
476,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
477,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
477,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
477,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
477,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
477,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
477,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
477,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
477,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
477,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
477,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
477,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
477,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
477,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
478,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
478,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
478,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
478,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
478,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
478,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
478,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
478,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
478,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
478,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
478,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
478,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
478,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
479,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
479,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
479,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
479,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
479,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
479,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
479,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
479,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
479,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
479,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
479,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
479,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
479,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
480,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
480,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
480,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
480,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
480,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
480,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
480,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
480,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
480,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
480,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
480,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
480,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
480,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
481,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
481,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
481,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
481,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
481,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
481,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
481,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
481,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
481,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
481,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
481,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
481,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
481,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
482,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
482,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
482,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
482,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
482,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
482,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
482,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
482,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
482,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
482,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
482,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
482,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
482,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
483,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
483,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
483,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
483,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
483,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
483,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
483,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
483,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
483,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
483,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
483,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
483,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
483,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
484,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
484,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
484,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
484,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
484,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
484,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
484,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
484,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
484,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
484,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
484,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
484,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
484,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
485,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
485,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
485,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
485,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
485,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
485,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
485,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
485,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
485,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
485,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
485,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
485,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
485,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
486,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
486,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
486,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
486,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
486,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
486,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
486,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
486,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
486,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
486,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
486,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
486,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
486,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
487,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
487,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
487,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
487,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
487,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
487,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
487,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
487,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
487,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
487,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
